Country Code,Short Name,Table Name,Long Name,Currency Unit,Region,National accounts base year,System of National Accounts
BLR,Belarus,Belarus,Republic of Belarus,Belarusian rubel,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
BLZ,Belize,Belize,Belize,Belize dollar,Latin America & Caribbean,2000,Country uses the 1993 System of National Accounts methodology
BOL,Bolivia,Bolivia,Plurinational State of Bolivia,Bolivian Boliviano,Latin America & Caribbean,1990,Country uses the 1993 System of National Accounts methodology
BRA,Brazil,Brazil,Federative Republic of Brazil,Brazilian real,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
BRB,Barbados,Barbados,Barbados,Barbados dollar,Latin America & Caribbean,2010,Country uses the 2008 System of National Accounts methodology
BTN,Bhutan,Bhutan,Kingdom of Bhutan,Bhutanese ngultrum,South Asia,2000,Country uses the 1993 System of National Accounts methodology
BWA,Botswana,Botswana,Republic of Botswana,Botswana pula,Sub-Saharan Africa,2016,Country uses the 1993 System of National Accounts methodology
CAF,Central African Republic,Central African Republic,Central African Republic,Central African CFA franc,Sub-Saharan Africa,2005,Country uses the 1993 System of National Accounts methodology
CAN,Canada,Canada,Canada,Canadian dollar,North America,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
CHE,Switzerland,Switzerland,Switzerland,Swiss franc,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
CHL,Chile,Chile,Republic of Chile,Chilean peso,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
CHN,China,China,People's Republic of China,Chinese yuan,East Asia & Pacific,2015,Country uses the 2008 System of National Accounts methodology
CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,West African CFA franc,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
CMR,Cameroon,Cameroon,Republic of Cameroon,Central African CFA franc,Sub-Saharan Africa,2016,Country uses the 2008 System of National Accounts methodology
COD,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,Congolese franc,Sub-Saharan Africa,2005,Country uses the 1993 System of National Accounts methodology
COG,Congo,"Congo, Rep.",Republic of Congo,Central African CFA franc,Sub-Saharan Africa,2005,Country uses the 1993 System of National Accounts methodology
COL,Colombia,Colombia,Republic of Colombia,Colombian peso,Latin America & Caribbean,2015,Country uses the 2008 System of National Accounts methodology
COM,Comoros,Comoros,Union of the Comoros,Comorian franc,Sub-Saharan Africa,2007,Country uses the 2008 System of National Accounts methodology
CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,Cabo Verde escudo,Sub-Saharan Africa,2007,Country uses the 1993 System of National Accounts methodology
CRI,Costa Rica,Costa Rica,Republic of Costa Rica,Costa Rican colon,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
CYP,Cyprus,Cyprus,Republic of Cyprus,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
CZE,Czech Republic,Czech Republic,Czech Republic,Czech koruna,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
DEU,Germany,Germany,Federal Republic of Germany,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
DJI,Djibouti,Djibouti,Republic of Djibouti,Djibouti franc,Middle East & North Africa,2013,Country uses the 2008 System of National Accounts methodology
DMA,Dominica,Dominica,Commonwealth of Dominica,East Caribbean dollar,Latin America & Caribbean,2006,Country uses the 1993 System of National Accounts methodology
